id,dt,wind,cloud,t,tmin,tmax,pcp,s,hum
1,1998/01/01,3.625,9,-2.699999997392297,-3.9000000953674316,0.20000000298023224,3.9,11,90
2,1998/01/02,2.125,9,-4.100000023841858,-4.400000095367432,-3.4000000953674316,0,11,90
3,1998/01/03,3.125,9,-1.3874999936670065,-3.5999999046325684,0.20000000298023224,1.9,11,92
4,1998/01/04,3.875,9,0.9874999970197678,-0.20000000298023224,1.5,0.4,8.333333015441895,96
5,1998/01/05,1.875,10,0.24999999161809683,-0.699999988079071,1.5,3.9,5,95
6,1998/01/06,3.125,9,-0.6124999988824129,-1,-0.10000000149011612,0.3,5,94
7,1998/01/07,2.75,9,-0.7125000134110451,-1.2000000476837158,-0.30000001192092896,0.3,5,95
8,1998/01/08,3.25,9,1.0125000178813934,-0.5,3.0999999046325684,4.1,6,92
9,1998/01/09,4.25,9,1.3125,0,2.9000000953674316,1.8,4,87
10,1998/01/10,5,9,-2.074999988079071,-4.199999809265137,0.5,0.4,4,80
11,1998/01/11,3.25,9,-4.474999986588955,-6.400000095367432,-0.5,6.2,4,81
12,1998/01/12,3.375,9,1.5749999955296516,-0.699999988079071,2.4000000953674316,2,3.6666667461395264,93
13,1998/01/13,1.625,10,1.2250000089406967,0.5,2.200000047683716,0.6,2.3333332538604736,97
14,1998/01/14,1.75,10,-2.0749999657273293,-5.099999904632568,1,0.1,1.6666666269302368,92
15,1998/01/15,2,9,-5.112500011920929,-6.599999904632568,-3.299999952316284,0,1.6666666269302368,92
16,1998/01/16,2.375,9,-2.3499999791383743,-3.5999999046325684,-1.399999976158142,0.4,1.6666666269302368,94
17,1998/01/17,2.625,9,-1.7624999582767487,-2.4000000953674316,-0.6000000238418579,,1.6666666269302368,88
18,1998/01/18,2.875,9,-1.6375000039115548,-3,0.10000000149011612,2.2,1.6666666269302368,88
19,1998/01/19,2.625,9,-1.0625000139698386,-2.5,0.30000001192092896,0.1,2.3333332538604736,95
20,1998/01/20,3.5,9,-5.874999940395355,-7.800000190734863,-2.5,0.4,2.3333332538604736,85
21,1998/01/21,3,9,-7.087500035762787,-9.199999809265137,-5.5,,2.3333332538604736,82
22,1998/01/22,1.625,5,-10.112500011920929,-13.5,-4.300000190734863,,2.3333332538604736,74
23,1998/01/23,0.875,0,-10.4375,-15.300000190734863,-1,,2.3333332538604736,74
24,1998/01/24,0.625,5,-9.024999976158142,-14.199999809265137,-1.5,,2.3333332538604736,79
25,1998/01/25,0.5,5,-7.912499904632568,-10.899999618530273,-4.199999809265137,,2.3333332538604736,76
