id,dt,wind,cloud,t,tmin,tmax,pcp,s,hum
1,1998/01/01,2.375,9,-2.2499999832361937,-3.5999999046325684,0.30000001192092896,2.7,4,89
2,1998/01/02,1.875,9,-3.650000035762787,-4.099999904632568,-2.9000000953674316,0.2,4,87
3,1998/01/03,2.125,9,-0.9500000225380063,-2.9000000953674316,0.699999988079071,0.8,4,92
4,1998/01/04,2.375,10,1.2125000208616257,0.699999988079071,1.7000000476837158,0.3,1,96
5,1998/01/05,1.375,9,0.2000000011175871,-0.699999988079071,1.2999999523162842,3.1,1,97
6,1998/01/06,1.625,9,-0.23750000447034836,-0.699999988079071,0.20000000298023224,0,0.3333333432674408,95
7,1998/01/07,1.75,9,-0.32500000204890966,-0.800000011920929,-0.10000000149011612,0,,95
8,1998/01/08,2.25,9,1.0500000268220901,-0.800000011920929,3.200000047683716,2.9,,93
9,1998/01/09,4.125,9,1.725000023841858,0.30000001192092896,3.200000047683716,0,,84
10,1998/01/10,4,9,-1.4500000057742,-3.4000000953674316,0.699999988079071,0,1,78
11,1998/01/11,2.5,9,-3.8375000283122063,-5.699999809265137,0.30000001192092896,4,,80
12,1998/01/12,1.5,9,2.1750000417232513,0.30000001192092896,2.700000047683716,2.3,1,95
13,1998/01/13,0.875,10,1.2875000089406967,1,1.7000000476837158,0,,99
14,1998/01/14,1.25,10,-1.862500037997961,-5.5,1.100000023841858,0,,93
15,1998/01/15,1.25,9,-4.750000029802322,-6.199999809265137,-3.299999952316284,,,94
16,1998/01/16,1,9,-2.312499985098839,-3.4000000953674316,-1.2999999523162842,0.2,,95
17,1998/01/17,1.875,9,-1.6375000029802322,-2.0999999046325684,-0.8999999761581421,0,,86
18,1998/01/18,2.125,9,-1.3749999906867743,-2.5999999046325684,-0.20000000298023224,2.2,,93
19,1998/01/19,1.625,10,-1.4625000022351742,-2.9000000953674316,0.20000000298023224,,2,97
20,1998/01/20,1.875,9,-6.112499862909317,-7.800000190734863,-2.9000000953674316,,2,85
21,1998/01/21,1,5,-6.575000047683716,-7.900000095367432,-5.800000190734863,0,2,81
22,1998/01/22,1,5,-9.774999976158142,-13.100000381469727,-6.199999809265137,,2,67
23,1998/01/23,0.625,5,-11.037499904632568,-14.5,-5.599999904632568,,2,73
24,1998/01/24,0.125,5,-9.087500005960464,-13.5,-3.200000047683716,,2,75
25,1998/01/25,0.375,5,-8.825000166893005,-12.199999809265137,-4.199999809265137,,2,79
26,1998/01/26,0.625,5,-7.949999883770943,-14.399999618530273,-1.899999976158142,,2,63
27,1998/01/27,2.875,5,-4.362500041723251,-8.199999809265137,-2,,2,53
28,1998/01/28,4,5,-4.812500059604645,-7.5,-2.4000000953674316,,2,50
29,1998/01/29,1.5,9,-4.324999988079071,-6.400000095367432,-3.0999999046325684,1.1,2,78
30,1998/01/30,1,9,-10.100000023841858,-12.699999809265137,-6.300000190734863,0,2,81
31,1998/01/31,3.875,10,-7.737500011920929,-12.5,-4,2.2,4,77
32,1998/02/01,5.5,5,-11.774999856948853,-13.800000190734863,-9.300000190734863,0,6,67
33,1998/02/02,2.125,5,-11.662500023841858,-16.600000381469727,-5.300000190734863,,6,73
34,1998/02/03,2.25,5,-9.962500154972076,-12.399999618530273,-7.400000095367432,0.2,6,68
35,1998/02/04,4.125,9,-4.837500095367432,-7.400000095367432,-2.5,1,6,84
36,1998/02/05,3.25,9,-2.5125000327825546,-4.699999809265137,0.6000000238418579,0,4.333333492279053,67
37,1998/02/06,1.625,9,-3.537499986588955,-7.199999809265137,-0.6000000238418579,0.3,4.333333492279053,78
38,1998/02/07,5.125,5,-5.237499997019768,-11.5,-0.6000000238418579,0.3,5,79
39,1998/02/08,0.875,5,-13.949999809265137,-20.200000762939453,-8.300000190734863,,7.666666507720947,70
40,1998/02/09,1.5,5,-6.7875000312924385,-14.399999618530273,-0.800000011920929,0.6,7.666666507720947,82
41,1998/02/10,1.625,9,0.13749999180436134,-1.2000000476837158,1.2999999523162842,0,6.333333492279053,94
42,1998/02/11,2.375,10,2.3375000059604645,1.2999999523162842,3.700000047683716,0.3,2.3333332538604736,89
43,1998/02/12,3.875,9,2.000000022351742,0.6000000238418579,2.799999952316284,1,,96
44,1998/02/13,3.625,9,-0.21250002644956112,-5.400000095367432,2.700000047683716,0.4,,79
45,1998/02/14,2.125,5,-7.962500035762787,-13,-3.9000000953674316,0,,57
46,1998/02/15,1.375,5,-6.999999940395355,-14.699999809265137,-3.0999999046325684,2.2,2,71
47,1998/02/16,3,10,-8.537499949336052,-17.200000762939453,1.600000023841858,4.8,2,77
48,1998/02/17,7.5,9,1.2500000074505806,-4.099999904632568,5.599999904632568,6.7,,76
49,1998/02/18,4.375,5,-8.987500011920929,-13.5,-4,,,55
50,1998/02/19,3.125,9,0.3999999836087227,-7,3.799999952316284,0.2,,95
51,1998/02/20,2,9,4.137499928474426,3.0999999046325684,5.199999809265137,,,85
52,1998/02/21,1.5,9,2.9500000178813934,2.200000047683716,3.700000047683716,0,,93
53,1998/02/22,2.125,10,2.51249997317791,1.2999999523162842,4.199999809265137,,,93
54,1998/02/23,1.375,10,0.5750000132247806,-0.4000000059604645,3.0999999046325684,,,99
55,1998/02/24,4.125,10,2.449999996460974,0,5,0.4,,85
56,1998/02/25,5.125,5,-1.662499986588955,-6.400000095367432,3.5,0,,57
57,1998/02/26,2.625,5,-6.08749994635582,-9.600000381469727,-2.299999952316284,0,,44
58,1998/02/27,1.125,10,1.0499999914318323,-2.799999952316284,3,0.4,,88
59,1998/02/28,2.625,9,5.0374999940395355,2.200000047683716,7.900000095367432,,,73
60,1998/03/01,3.75,9,4.762499928474426,2,7,,,68
61,1998/03/02,1.125,5,0.45000002160668373,-1.399999976158142,2.9000000953674316,0.8,,75
62,1998/03/03,2,5,-2.2124999687075615,-4.800000190734863,0.20000000298023224,1.8,2.3333332538604736,83
63,1998/03/04,1.375,10,-0.7875000014901161,-4.699999809265137,3.4000000953674316,3.3,3.3333332538604736,94
64,1998/03/05,2.375,9,8.012499868869781,3.4000000953674316,11.399999618530273,2.9,,86
