id,dt,wind,cloud,t,tmin,tmax,pcp,s,hum
1,1998/01/01,1.75,9,-2.587500024586916,-3.9000000953674316,0.20000000298023224,1.5,6.666666507720947,86
2,1998/01/02,1.625,9,-3.6625000536441803,-4.400000095367432,-2.9000000953674316,1.3,6.666666507720947,82
3,1998/01/03,1.75,10,-0.6749999905005097,-3,0.699999988079071,0.2,8,91
4,1998/01/04,3.25,10,1.512499988079071,0.699999988079071,1.899999976158142,0,3.6666667461395264,96
5,1998/01/05,1.75,10,0.13750000298023224,-0.8999999761581421,1.600000023841858,2.9,3,95
6,1998/01/06,2.25,10,-0.2625000011175871,-0.800000011920929,0.30000001192092896,,2.6666667461395264,95
7,1998/01/07,1.5,10,-0.3125000074505806,-0.5,0.4000000059604645,1.8,2.6666667461395264,97
8,1998/01/08,2.375,10,1.6625000312924385,-0.20000000298023224,3.4000000953674316,1.7,2.6666667461395264,91
9,1998/01/09,1.75,9,1.8249999955296516,0.6000000238418579,3,,0.6666666865348816,81
10,1998/01/10,3,9,-0.8624999821186066,-2.700000047683716,0.699999988079071,0.5,0.6666666865348816,75
11,1998/01/11,2.5,9,-3.0499999299645424,-4.900000095367432,0.800000011920929,9.2,0.6666666865348816,79
12,1998/01/12,1.625,10,2.2874999791383743,0.800000011920929,2.700000047683716,0.8,2.6666667461395264,94
13,1998/01/13,0.375,10,1.324999988079071,-0.10000000149011612,2.299999952316284,0.3,1,99
14,1998/01/14,1.75,10,-0.12499998044222593,-2.9000000953674316,1.399999976158142,0,,92
15,1998/01/15,1.625,9,-2.4000000059604645,-3.5999999046325684,-1.5,,,90
16,1998/01/16,2,9,-1.4249999895691872,-2.4000000953674316,-0.699999988079071,0,,92
17,1998/01/17,1.125,9,-1.2875000014901161,-1.7999999523162842,-0.6000000238418579,,,86
18,1998/01/18,1.375,10,-0.5249999836087227,-1.5,0.5,4,,92
19,1998/01/19,1.375,10,-0.5374999977648258,-1.899999976158142,0.4000000059604645,,2.6666667461395264,98
20,1998/01/20,2.875,9,-5.124999940395355,-7.699999809265137,-1.7999999523162842,0.2,2,85
21,1998/01/21,3.125,9,-5.050000011920929,-6.099999904632568,-4.099999904632568,0,2,84
22,1998/01/22,3.25,5,-8.587500035762787,-11.5,-5.300000190734863,,1.6666666269302368,64
23,1998/01/23,1,5,-9.662499904632568,-13.199999809265137,-5.199999809265137,,1.3333333730697632,71
24,1998/01/24,0.5,5,-8.28750005364418,-12,-2.799999952316284,,1.3333333730697632,69
25,1998/01/25,0.875,5,-7.687500029802322,-11.699999809265137,-3.0999999046325684,,1.3333333730697632,76
26,1998/01/26,0.5,5,-8.137499958276749,-13.899999618530273,-2,,1.3333333730697632,71
27,1998/01/27,1.875,5,-5.037500038743019,-9,-1.2000000476837158,,1,61
28,1998/01/28,3,5,-4.625,-7.5,-1.7999999523162842,,1,59
29,1998/01/29,1.25,9,-3.5750000178813934,-6.599999904632568,-2,2,3,80
30,1998/01/30,1.125,5,-10.262499928474426,-12.600000381469727,-6.5,0.7,6.333333492279053,79
31,1998/01/31,2.5,5,-6.412499964237213,-10.100000381469727,-2.0999999046325684,1.9,6.333333492279053,75
32,1998/02/01,2.5,5,-11.074999928474426,-13.399999618530273,-9.199999809265137,1.8,7,70
33,1998/02/02,0.75,5,-10.462500095367432,-14.699999809265137,-5.699999809265137,0,7,75
34,1998/02/03,2.5,5,-9.149999976158142,-11.199999809265137,-7.199999809265137,0.7,6.666666507720947,69
35,1998/02/04,2.75,5,-4.575000017881393,-7.400000095367432,-1.399999976158142,0.2,8,79
36,1998/02/05,2.5,5,-2.3874999759718776,-4.699999809265137,0.10000000149011612,0,7.333333492279053,69
37,1998/02/06,1.875,5,-3.137499975040555,-6.599999904632568,-0.20000000298023224,0.2,6,78
38,1998/02/07,2.625,5,-4.637499913573265,-9.5,-0.20000000298023224,0.5,6.666666507720947,76
39,1998/02/08,0.875,5,-11.93749988079071,-16.399999618530273,-6.900000095367432,,6.666666507720947,74
40,1998/02/09,1.625,9,-4.037499941885471,-11.300000190734863,0.8999999761581421,1,6.666666507720947,84
41,1998/02/10,1.75,9,0.4625000013038516,-1.100000023841858,1.399999976158142,0.3,6,93
42,1998/02/11,1,9,2.6000000089406967,1.2999999523162842,4.900000095367432,0,3,88
43,1998/02/12,1.875,9,2.4874999821186066,1.2999999523162842,3.5999999046325684,2.8,,90
44,1998/02/13,2.625,9,0.6375000085681677,-2.5,3.0999999046325684,2.9,,80
45,1998/02/14,1.5,5,-7.237500041723251,-13.199999809265137,-2.299999952316284,1.2,3,60
46,1998/02/15,1.75,9,-4.037500023841858,-10.899999618530273,-1.600000023841858,1.9,5.333333492279053,77
47,1998/02/16,3.375,9,-6.425000123679638,-13.399999618530273,2.5,3.4,5.333333492279053,76
48,1998/02/17,5.25,5,2.024999951943755,-3,6.199999809265137,3.9,,75
49,1998/02/18,3.125,5,-7.47500005364418,-12.199999809265137,-2.9000000953674316,,,59
50,1998/02/19,1.875,9,0.9124999493360519,-5.099999904632568,4.400000095367432,0.7,,90
51,1998/02/20,1.875,9,4.475000023841858,4,5,0.4,,84
52,1998/02/21,1.625,9,3.162500023841858,2.4000000953674316,4.099999904632568,0,,90
53,1998/02/22,2.375,5,2.6624999940395355,0.800000011920929,5.599999904632568,,,92
54,1998/02/23,1.25,10,0.07500000018626451,-0.8999999761581421,2.5,,,100
55,1998/02/24,2.625,10,2.5500000528991222,-0.6000000238418579,6.199999809265137,0.3,,88
56,1998/02/25,4,5,-0.6875000102445483,-5.5,3.9000000953674316,0,,61
57,1998/02/26,1.75,5,-5.487500086426735,-9.399999618530273,-1.899999976158142,0,,56
58,1998/02/27,1.5,10,1.8749999776482582,-2.200000047683716,3.9000000953674316,0,,88
59,1998/02/28,2.5,9,5.662500113248825,2.299999952316284,9.699999809265137,,,73
60,1998/03/01,2.25,9,5.462499976158142,2.799999952316284,8,,,66
61,1998/03/02,1.375,5,1.1374999694526196,-0.8999999761581421,4.699999809265137,0.7,,75
62,1998/03/03,1.75,5,-0.3875000048428774,-2.9000000953674316,1.600000023841858,2.3,5.333333492279053,80
63,1998/03/04,1.5,9,1.475000023841858,-1.899999976158142,4.800000190734863,3.1,1.6666666269302368,93
64,1998/03/05,2.375,9,8.824999928474426,4.800000190734863,12.399999618530273,1.9,,84
65,1998/03/06,1.75,9,4.07499997317791,0.5,9.199999809265137,6.4,,86
66,1998/03/07,0.875,9,-1.1374999769032001,-2.200000047683716,0.6000000238418579,10.9,15.333333015441895,92
67,1998/03/08,1.375,10,-1.1500000543892384,-5.599999904632568,3.299999952316284,2.2,16,93
68,1998/03/09,1.875,9,3.900000035762787,2.5,4.900000095367432,10.7,1,94
69,1998/03/10,1.375,10,1.9999999767169356,-0.20000000298023224,4.400000095367432,3.6,,97
70,1998/03/11,2.5,9,-2.2375000417232513,-3.299999952316284,-0.10000000149011612,8.2,6.333333492279053,84
71,1998/03/12,1.25,10,-0.6875000009313226,-3.5999999046325684,0.699999988079071,16,8.666666984558105,92
72,1998/03/13,2.75,5,-4.362500011920929,-6.800000190734863,-2.5,2.6,10,78
73,1998/03/14,2.5,5,-2.9999999925494194,-6.900000095367432,1.100000023841858,0,7.333333492279053,74
74,1998/03/15,3.125,9,-0.39999999571591616,-1.5,0.800000011920929,0.6,8.666666984558105,79
75,1998/03/16,2.25,9,-0.47500000428408384,-2.799999952316284,1.100000023841858,6.1,9.333333015441895,88
76,1998/03/17,3.875,9,-3.162499949336052,-4.900000095367432,-1.899999976158142,6.9,13,85
77,1998/03/18,1.5,9,-3.8124999701976776,-5.300000190734863,-2.5,0,13.666666984558105,69
78,1998/03/19,0.75,9,-3.975000001490116,-8.100000381469727,-0.5,,12.666666984558105,79
79,1998/03/20,1.5,5,0.2000000011175871,-2,2.0999999046325684,0.2,13.333333015441895,69
80,1998/03/21,1.5,0,-3.612499989569187,-10.899999618530273,1.7000000476837158,,10,65
81,1998/03/22,2.5,9,-1.9749999940395355,-6.699999809265137,1.7999999523162842,,8.666666984558105,59
82,1998/03/23,2,5,-1.9625000264495611,-4,0.20000000298023224,0,8.333333015441895,64
83,1998/03/24,2,9,-1.9749999940395355,-2.9000000953674316,-0.6000000238418579,1,7,79
84,1998/03/25,2,9,-1.5249999891966581,-3.4000000953674316,0.800000011920929,0.3,11,82
85,1998/03/26,0.75,9,-1.0874999733641744,-7.400000095367432,4.099999904632568,,9.666666984558105,70
86,1998/03/27,0,0,0.17500003427267075,-6.099999904632568,6.300000190734863,,7,60
87,1998/03/28,1.25,5,-0.27500003576278687,-6,4.199999809265137,,6.333333492279053,68
88,1998/03/29,1.5,5,1.8375000301748514,-2.799999952316284,5.300000190734863,,3.3333332538604736,67
89,1998/03/30,1.5,9,3.787499999627471,-0.8999999761581421,8,,,61
90,1998/03/31,1.75,5,3.8625000193715096,0.20000000298023224,8.100000381469727,,,68
91,1998/04/01,2.25,5,6.312500029802322,2.9000000953674316,12.399999618530273,,,77
92,1998/04/02,2,9,3.5624999701976776,0.8999999761581421,8.800000190734863,1,,85
93,1998/04/03,3,9,0.3749999953433871,-0.699999988079071,1.2999999523162842,3.6,3.6666667461395264,83
94,1998/04/04,2.25,10,0.13750000670552254,-0.8999999761581421,1.7000000476837158,1.6,,87
95,1998/04/05,2,10,4.7250000685453415,1.600000023841858,10,,,91
96,1998/04/06,1.5,10,5.9375001192092896,3.299999952316284,10.300000190734863,4.6,,91
97,1998/04/07,1.5,9,8.437500059604645,4,11.699999809265137,31.8,,93
98,1998/04/08,2,9,7.049999982118607,3.0999999046325684,10.899999618530273,4.7,,88
99,1998/04/09,2.5,5,11.600000023841858,7.199999809265137,16.899999618530273,0.5,,63
100,1998/04/10,2.75,9,7.162499964237213,4.800000190734863,12.399999618530273,13,,82
101,1998/04/11,4,9,3.9375000298023224,1.899999976158142,6.300000190734863,0.4,,77
102,1998/04/12,1.75,5,10.112499952316284,5.300000190734863,14.399999618530273,4.9,,79
103,1998/04/13,3.5,9,9.187499940395355,7.800000190734863,11.100000381469727,18.5,,81
104,1998/04/14,3,9,6.787499964237213,5.5,7.900000095367432,0.4,,75
105,1998/04/15,1.75,9,6.112499892711639,3.5,9,,,76
106,1998/04/16,1.5,5,5.037499986588955,-0.800000011920929,10.199999809265137,,,70
107,1998/04/17,3,9,9.6875,4.5,14.399999618530273,,,65
108,1998/04/18,2,9,8.187500059604645,6.400000095367432,11.600000381469727,0,,77
109,1998/04/19,2.25,9,9.525000035762787,7.5,12.199999809265137,,,89
110,1998/04/20,2.75,9,10.837500095367432,9.899999618530273,11.600000381469727,6.7,,87
111,1998/04/21,4,9,9.575000047683716,7.5,11.300000190734863,0,,69
112,1998/04/22,2.75,5,8.962500035762787,4,13.600000381469727,0,,55
113,1998/04/23,1.75,9,10.324999988079071,4,15.600000381469727,,,47
114,1998/04/24,0.5,0,11.150000035762787,2.9000000953674316,18,,,56
115,1998/04/25,1,5,13.450000047683716,6.300000190734863,20.100000381469727,,,49
116,1998/04/26,2.25,9,13.449999928474426,8.699999809265137,17.700000762939453,,,57
117,1998/04/27,1,5,13.037500083446503,6.699999809265137,18.600000381469727,,,53
118,1998/04/28,1,0,13.025000095367432,6.099999904632568,18.700000762939453,,,45
119,1998/04/29,0.75,0,14.412499964237213,7,21.100000381469727,,,46
120,1998/04/30,1,0,15.850000023841858,7.699999809265137,22.700000762939453,,,42
121,1998/05/01,0.25,5,16.887500047683716,7.5,24.200000762939453,,,46
122,1998/05/02,2,5,18.12500011920929,14.100000381469727,23,0,,53
123,1998/05/03,3,9,14.362500071525574,11.899999618530273,19.100000381469727,6.6,,79
124,1998/05/04,1.75,5,15.825000047683716,10.5,21.799999237060547,,,72
125,1998/05/05,3.75,5,18.049999952316284,15,23,4.6,,67
126,1998/05/06,3.5,5,11.262499928474426,8.699999809265137,16.5,0,,76
127,1998/05/07,1,5,12.762499868869781,6.199999809265137,19.600000381469727,,,72
128,1998/05/08,1.25,5,15.899999856948853,10.600000381469727,21.200000762939453,,,58
129,1998/05/09,1,5,16.71250009536743,10.100000381469727,23.200000762939453,,,62
130,1998/05/10,1,5,17.487499952316284,9.300000190734863,24,,,60
131,1998/05/11,1.25,0,18.199999809265137,11.300000190734863,23.700000762939453,,,46
132,1998/05/12,0,0,16.699999809265137,8.699999809265137,23.600000381469727,,,48
133,1998/05/13,1.25,5,11.42499989271164,7.400000095367432,18,0.8,,67
134,1998/05/14,1.5,9,7.299999892711639,4.900000095367432,10.600000381469727,,,70
135,1998/05/15,0.75,9,7.925000011920929,5.099999904632568,10.600000381469727,,,73
136,1998/05/16,0.25,5,11.125,2.9000000953674316,18,,,63
137,1998/05/17,0.75,5,13.874999940395355,5.199999809265137,20.5,,,62
138,1998/05/18,3,5,17.074999928474426,11.300000190734863,23.600000381469727,,,55
139,1998/05/19,2.75,9,17.25000023841858,11.800000190734863,21.700000762939453,3,,47
140,1998/05/20,2.5,5,16.77500009536743,10.399999618530273,22.5,,,46
141,1998/05/21,1.75,9,14.024999856948853,12.199999809265137,17,3.6,,77
142,1998/05/22,0.75,9,13.137499928474426,11.699999809265137,15.600000381469727,1.8,,87
143,1998/05/23,2.5,9,10.612499833106995,8.300000190734863,13.800000190734863,1.1,,70
144,1998/05/24,2.25,5,8.050000011920929,3.4000000953674316,13.399999618530273,,,68
145,1998/05/25,2,9,12.06249988079071,8.100000381469727,16.200000762939453,1.2,,65
146,1998/05/26,1.75,5,14.700000047683716,10.600000381469727,19.5,0.8,,68
147,1998/05/27,1.25,9,15.962500214576721,13.600000381469727,19.600000381469727,3.1,,81
148,1998/05/28,0.75,9,16.850000023841858,14.800000190734863,19.5,7.7,,88
149,1998/05/29,1,5,16.300000309944153,12.699999809265137,20.700000762939453,,,83
150,1998/05/30,1.5,5,20.100000023841858,15.5,25.5,,,68
151,1998/05/31,1.25,5,19.41249990463257,14.199999809265137,24.200000762939453,,,65
152,1998/06/01,0.25,0,18.899999737739563,11.399999618530273,25.299999237060547,,,59
153,1998/06/02,1.5,5,21.049999713897705,14.699999809265137,27.600000381469727,,,54
154,1998/06/03,0.75,5,21.12499976158142,14.899999618530273,29,1.9,,67
155,1998/06/04,1,9,22.25000011920929,14.699999809265137,29,,,64
156,1998/06/05,1.25,5,20.41249990463257,15.300000190734863,26.600000381469727,0,,74
157,1998/06/06,1.5,5,20.737500190734863,15.699999809265137,25.5,,,63
158,1998/06/07,1.25,5,21.137499928474426,14.399999618530273,27,,,58
159,1998/06/08,1.5,0,22.90000009536743,16.700000762939453,29.5,,,51
160,1998/06/09,0.75,5,24.512500047683716,15.199999809265137,31,,,55
161,1998/06/10,1.5,0,25.637500047683716,19.899999618530273,31.100000381469727,,,46
162,1998/06/11,1.75,5,24.43750023841858,20.100000381469727,30.899999618530273,0,,52
163,1998/06/12,1.5,5,22.99999976158142,17,28,,,66
164,1998/06/13,1,5,25.3125,19.5,30.399999618530273,,,61
165,1998/06/14,2.5,0,28.3125,21.299999237060547,35.79999923706055,,,49
166,1998/06/15,2.75,5,24.024999856948853,19.700000762939453,30.299999237060547,0.6,,55
167,1998/06/16,4.25,5,18.787500262260437,13.899999618530273,25.100000381469727,0.1,,57
168,1998/06/17,1.5,5,20.600000381469727,15,27,,,65
169,1998/06/18,2.25,5,23.25000011920929,15.699999809265137,29.799999237060547,,,59
170,1998/06/19,3.75,5,23.56249976158142,21.600000381469727,29,2.5,,65
171,1998/06/20,2,5,19.925000190734863,15.199999809265137,24,,,66
172,1998/06/21,0.5,5,14.824999928474426,11.300000190734863,19.799999237060547,0.1,,78
173,1998/06/22,1,5,13.5,8.699999809265137,18.200000762939453,0.6,,79
174,1998/06/23,1.75,5,14.362500071525574,9.199999809265137,19.799999237060547,0.4,,79
175,1998/06/24,2.75,5,16.037500143051147,11.699999809265137,20.299999237060547,0,,70
176,1998/06/25,2,9,14.274999976158142,11.899999618530273,17.299999237060547,0,,75
177,1998/06/26,1.75,9,15.137499809265137,12.399999618530273,19.100000381469727,,,71
