id,dt,wind,cloud,t,tmin,tmax,pcp,s,hum
1,1998/01/01,1.625,10,-3.2375000193715096,-4.800000190734863,0.30000001192092896,1.1,8.666666984558105,92
2,1998/01/02,0.875,9,-4.287500023841858,-4.900000095367432,-3.4000000953674316,1,10,91
3,1998/01/03,2.25,10,-1.2249999810010195,-3.5,0.30000001192092896,0.6,10.666666984558105,97
4,1998/01/04,2.125,10,1.1749999783933163,0.30000001192092896,1.5,1.5,9.333333015441895,100
5,1998/01/05,0.5,10,-0.0625,-1,1.5,4.7,9,99
6,1998/01/06,1.375,10,-0.5625000149011612,-1.100000023841858,-0.20000000298023224,,8.666666984558105,100
7,1998/01/07,0.75,10,-0.4750000098720193,-1,0.10000000149011612,0.9,8.666666984558105,99
8,1998/01/08,2,10,1.2375000212341547,-0.4000000059604645,3.0999999046325684,4.5,9.333333015441895,96
9,1998/01/09,3.5,9,1.2750000152736902,-0.10000000149011612,3.0999999046325684,0.3,7.333333492279053,88
10,1998/01/10,3.875,9,-1.5750000029802322,-4.099999904632568,0.10000000149011612,0.5,7.666666507720947,81
11,1998/01/11,1.75,9,-3.687500014901161,-6,0.699999988079071,9.1,7,87
12,1998/01/12,1.375,9,2.149999976158142,0.6000000238418579,2.700000047683716,1.5,9.333333015441895,97
13,1998/01/13,0,10,1.0999999940395355,0.4000000059604645,2.0999999046325684,0.3,7.333333492279053,99
14,1998/01/14,0.5,10,-0.4250000035390258,-3.4000000953674316,1.2999999523162842,0.5,6,93
15,1998/01/15,1.375,9,-2.925000011920929,-4,-1.5,,6,98
16,1998/01/16,0.875,10,-1.2750000059604645,-1.7999999523162842,-0.699999988079071,0.6,5.666666507720947,99
17,1998/01/17,0.75,9,-1.5374999940395355,-1.899999976158142,-0.800000011920929,0,4.666666507720947,96
18,1998/01/18,1.25,10,-0.5499999858438969,-1.399999976158142,0.4000000059604645,2.3,5.666666507720947,96
19,1998/01/19,0.75,10,-0.4874999923631549,-1.5,0.4000000059604645,0,6.666666507720947,99
20,1998/01/20,1.625,9,-4.825000047683716,-6.800000190734863,-1.399999976158142,0,6.666666507720947,89
21,1998/01/21,2,9,-6.000000059604645,-7.699999809265137,-5.199999809265137,,6,92
