id,dt,wind,cloud,t,tmin,tmax,pcp,s,hum
1,1998/01/01,3.625,9,-3.26249997317791,-4.199999809265137,-0.5,0.3,2,85
2,1998/01/02,2.375,9,-3.737499952316284,-4.400000095367432,-3,0.8,2,86
3,1998/01/03,3.625,9,-0.9249999932944775,-3,0.6000000238418579,0.5,2.6666667461395264,94
4,1998/01/04,4.25,9,1.3999999910593033,0.4000000059604645,2.299999952316284,1,2,95
5,1998/01/05,3.375,10,0.2500000009313226,-0.10000000149011612,1.2999999523162842,4.2,2,95
6,1998/01/06,3.875,10,-0.36250000819563866,-0.6000000238418579,0.10000000149011612,0,2,97
7,1998/01/07,3,9,-0.22500000149011612,-0.5,0.30000001192092896,1,2,96
8,1998/01/08,3.625,9,1.5499999942258,0.10000000149011612,3.5999999046325684,5.4,2,93
9,1998/01/09,5.375,9,1.174999974668026,-0.30000001192092896,3.299999952316284,0,0.6666666865348816,88
10,1998/01/10,4.75,9,-1.2874999791383743,-4.199999809265137,0.8999999761581421,0,,79
11,1998/01/11,3.625,9,-2.9625000031664968,-5.199999809265137,1.2000000476837158,11.3,,86
12,1998/01/12,3.625,9,2.1749999821186066,1.100000023841858,3.200000047683716,0.6,2,95
13,1998/01/13,2.25,10,1.2500000074505806,0.699999988079071,2,0,0.6666666865348816,99
14,1998/01/14,2.375,9,0.09999999217689037,-1.600000023841858,1.7999999523162842,0.4,,92
15,1998/01/15,2.75,9,-1.9500000327825546,-2.9000000953674316,-0.5,0,,92
16,1998/01/16,3,9,-0.36250000167638063,-0.800000011920929,0.10000000149011612,0,,97
17,1998/01/17,4,9,-0.6375000141561031,-1.2000000476837158,0.10000000149011612,0,,93
18,1998/01/18,3.25,9,0.12499999720603228,-0.6000000238418579,1.2999999523162842,1.4,1,96
19,1998/01/19,3.375,9,-0.22500000055879354,-1,3.0999999046325684,0,0.3333333432674408,95
20,1998/01/20,4.375,9,-3.212500013411045,-5.300000190734863,-0.4000000059604645,0,,86
21,1998/01/21,3.5,9,-5.025000035762787,-6.5,-3.5,0,,87
22,1998/01/22,1.875,0,-7.025000035762787,-10.399999618530273,-2,,,72
23,1998/01/23,0.5,5,-8.075000062584877,-12.600000381469727,-1.5,,,77
24,1998/01/24,0.125,5,-6.525000095367432,-10.600000381469727,-0.8999999761581421,,,78
25,1998/01/25,2,5,-5.962499976158142,-8.199999809265137,-3,,,74
26,1998/01/26,2.625,5,-5.512500002980232,-10.600000381469727,-1,,,66
27,1998/01/27,3.75,5,-4.512500017881393,-8.800000190734863,-1,,,60
28,1998/01/28,4.25,5,-4.462500035762787,-7.900000095367432,-1,0,,67
29,1998/01/29,2.75,9,-4.524999976158142,-7.5,-2.5,0.6,0.6666666865348816,82
30,1998/01/30,1.875,5,-10.400000095367432,-14.199999809265137,-7.5,0.2,2,79
31,1998/01/31,4.125,5,-7.099999904632568,-9.399999618530273,-5.699999809265137,4.3,6.666666507720947,82
32,1998/02/01,5,5,-12.399999976158142,-15.100000381469727,-8.699999809265137,0.3,7.333333492279053,79
