id,dt,wind,cloud,t,tmin,tmax,pcp,s,hum
1,1998/01/01,2.5,9,-3.0250000059604645,-3.700000047683716,-1.100000023841858,0,6.333333492279053,86
2,1998/01/02,2.25,9,-3.162500023841858,-4,-2.200000047683716,2.7,6.333333492279053,87
3,1998/01/03,2.875,9,-0.3499999940395355,-2.5999999046325684,0.800000011920929,0,8.666666984558105,93
4,1998/01/04,3.875,10,1.5250000208616257,0.6000000238418579,2.5,2.5,6,97
5,1998/01/05,2.125,10,0.47500000707805157,-1.100000023841858,1.2999999523162842,3.9,4.666666507720947,93
6,1998/01/06,2.125,10,-0.23750000540167093,-0.800000011920929,0.6000000238418579,,4.333333492279053,96
7,1998/01/07,1.875,10,0.037500000558793545,-0.6000000238418579,0.699999988079071,2.4,3.3333332538604736,97
8,1998/01/08,3.125,9,1.9875000044703484,0.5,4.300000190734863,3.1,4.333333492279053,92
9,1998/01/09,3.625,9,1.6999999899417162,0.10000000149011612,3.700000047683716,0.5,2.6666667461395264,81
10,1998/01/10,4,9,-0.9750000033527613,-3.0999999046325684,0.20000000298023224,1.1,3,81
11,1998/01/11,2.875,9,-2.125,-4.400000095367432,2,11.8,1.3333333730697632,84
12,1998/01/12,2.75,9,2.8875000178813934,1.899999976158142,3.5999999046325684,1,4,93
13,1998/01/13,1.625,10,1.4500000178813934,0.699999988079071,2.5999999046325684,0,1.6666666269302368,100
14,1998/01/14,1.625,9,0.8499999968335032,-0.699999988079071,1.899999976158142,0,0.3333333432674408,89
15,1998/01/15,2.375,9,-0.9874999942258,-2.299999952316284,0.20000000298023224,0,,89
16,1998/01/16,2.5,9,0.18750000558793545,-0.10000000149011612,1,0.4,,95
17,1998/01/17,2.625,9,-0.13750000018626451,-0.6000000238418579,0.6000000238418579,0,,90
18,1998/01/18,2.375,10,0.5374999968335032,-0.5,2.4000000953674316,0.9,,96
19,1998/01/19,2.25,10,-0.1874999925494194,-2,1.7999999523162842,,,96
20,1998/01/20,3,9,-2.4875000342726707,-5.199999809265137,0.6000000238418579,0,,83
21,1998/01/21,2.375,9,-3.9250000417232513,-5.199999809265137,-2.299999952316284,0,,85
22,1998/01/22,1.375,9,-6.062500044703484,-9.399999618530273,-1.2999999523162842,,,69
23,1998/01/23,0.5,5,-7.737500041723251,-12.699999809265137,-0.8999999761581421,,,72
24,1998/01/24,0.25,5,-6.650000054389238,-12,1.100000023841858,,,71
25,1998/01/25,0.75,5,-5.449999958276749,-9.199999809265137,-2,,,71
26,1998/01/26,1.125,5,-7.4625000804662704,-13.600000381469727,-0.699999988079071,,,70
27,1998/01/27,2.625,9,-6.024999976158142,-10.199999809265137,-0.6000000238418579,,,63
28,1998/01/28,3.875,5,-4.487499978393316,-8.699999809265137,-0.30000001192092896,0,,64
29,1998/01/29,2.125,5,-4.112499922513962,-8.5,-1.600000023841858,0.7,1,78
30,1998/01/30,2.125,5,-10.162500083446503,-16.399999618530273,-6.800000190734863,0,1,78
31,1998/01/31,3.875,9,-5.987499892711639,-10.300000190734863,-3.5,4.1,2,78
32,1998/02/01,4.25,5,-11.299999952316284,-13.5,-8,0.2,2,70
33,1998/02/02,2.5,9,-9.899999916553497,-15.100000381469727,-3.9000000953674316,0,2,70
34,1998/02/03,2.75,5,-8.325000047683716,-12.199999809265137,-7.099999904632568,0.4,2,70
35,1998/02/04,4.25,9,-3.9625000655651093,-7.699999809265137,-0.8999999761581421,0.4,3.3333332538604736,77
36,1998/02/05,3.625,9,-1.3875000029802322,-3.5999999046325684,2.0999999046325684,0,2.6666667461395264,67
37,1998/02/06,3.5,9,-0.8749999972060323,-4.800000190734863,1.7999999523162842,0,1.3333333730697632,67
38,1998/02/07,4.5,5,-5.812499970197678,-10.600000381469727,0,0,1.3333333730697632,75
39,1998/02/08,1.375,5,-11.587499856948853,-18.5,-5.300000190734863,,1.3333333730697632,76
40,1998/02/09,2.25,9,-1.5624999850988388,-7.800000190734863,1.5,0.3,1.3333333730697632,83
41,1998/02/10,2.5,9,1.0750000094994903,-0.30000001192092896,2.299999952316284,0.9,1,92
42,1998/02/11,3.875,9,3.062499985098839,1.399999976158142,6,,,84
43,1998/02/12,3.375,9,2.8375000059604645,1,4.099999904632568,4.8,,93
44,1998/02/13,2.875,9,0.9499999964609742,-1.899999976158142,3.9000000953674316,2.3,,81
45,1998/02/14,2.375,5,-5.887500047683716,-11.5,-1.100000023841858,0.3,,67
46,1998/02/15,1.125,5,-3.48750002682209,-11.100000381469727,-0.8999999761581421,2.7,4,80
47,1998/02/16,3.5,9,-3.2499999552965164,-12.399999618530273,5.699999809265137,3.1,2.6666667461395264,86
48,1998/02/17,6.25,9,1.8125,-4.099999904632568,7.400000095367432,2.6,,77
49,1998/02/18,3.625,5,-7.924999952316284,-13.800000190734863,-2.5,0,,62
50,1998/02/19,4.125,9,2.2999999448657036,-4.300000190734863,5.900000095367432,0,,91
51,1998/02/20,3.75,9,5.049999952316284,4.099999904632568,6.099999904632568,0,,82
52,1998/02/21,2.375,9,3.6375000178813934,2.700000047683716,5.599999904632568,0,,89
53,1998/02/22,2.75,5,4.4499999806284904,0.4000000059604645,10.699999809265137,,,84
54,1998/02/23,1.625,10,1.2999999951571226,-0.5,4.699999809265137,,,97
55,1998/02/24,3.125,5,2.749999985098839,-0.20000000298023224,5.199999809265137,0,,87
56,1998/02/25,4.375,5,-1.487499963492155,-6,4.300000190734863,0,,55
57,1998/02/26,2.125,5,-5.125000074505806,-10,-0.5,1,,68
58,1998/02/27,2,10,2.0874999798834324,-0.699999988079071,3.5,0.8,,90
59,1998/02/28,3.75,9,6.274999797344208,2.799999952316284,9.800000190734863,,,71
60,1998/03/01,3.625,5,5.250000029802322,1.600000023841858,8.5,,,61
61,1998/03/02,2.625,5,0.012499988079071045,-2.4000000953674316,4.900000095367432,0.5,,78
62,1998/03/03,2.875,9,-0.43750001303851604,-3.0999999046325684,2,4.3,5,83
63,1998/03/04,2.5,9,1.3749999701976776,-3.5999999046325684,5.900000095367432,3.1,,94
64,1998/03/05,3.625,9,8.662499964237213,5.599999904632568,11.600000381469727,2.6,,88
65,1998/03/06,1.75,5,2.2999999951571226,0.10000000149011612,6.900000095367432,8.4,,91
66,1998/03/07,0.75,9,-2.362499952316284,-5.800000190734863,0.20000000298023224,4,10,88
67,1998/03/08,2.25,9,-1.0750000327825546,-9.100000381469727,4.400000095367432,4.7,10.333333015441895,92
68,1998/03/09,1.625,10,5.300000011920929,2.5,7.800000190734863,5.8,1,95
69,1998/03/10,3.125,9,0.7375000100582838,-1.899999976158142,5.400000095367432,5.4,,90
70,1998/03/11,3.625,9,-2.687499985098839,-4.099999904632568,-1.399999976158142,6.6,3,82
71,1998/03/12,2.625,9,-4.225000113248825,-5.400000095367432,-2.700000047683716,26.5,9.666666984558105,89
72,1998/03/13,3.5,5,-4.674999967217445,-7.300000190734863,-1,1.1,13.666666984558105,67
73,1998/03/14,2.875,5,-3.587499964982271,-9.199999809265137,1.100000023841858,0,12.666666984558105,70
74,1998/03/15,2.5,9,-0.42500001192092896,-1.600000023841858,1.100000023841858,3.7,15,88
75,1998/03/16,2.125,9,-0.39999999292194843,-3.299999952316284,0.800000011920929,8,17.66666603088379,90
76,1998/03/17,2,9,-3.237499937415123,-4.900000095367432,-1.2999999523162842,3.7,18.66666603088379,86
77,1998/03/18,1.625,9,-3.099999964237213,-6,-0.8999999761581421,0.3,16.33333396911621,78
78,1998/03/19,1,5,-4.91250005364418,-12.699999809265137,3.4000000953674316,0,16.33333396911621,84
79,1998/03/20,2.875,5,-0.5500000109896064,-4.599999904632568,2,0,14.333333015441895,67
80,1998/03/21,0.875,5,-4.174999982118607,-12.300000190734863,3.299999952316284,,13.666666984558105,62
81,1998/03/22,1.375,0,-3.262499988079071,-12.199999809265137,3.299999952316284,,13.666666984558105,57
82,1998/03/23,2.625,5,-1.212499976158142,-4.900000095367432,3,,13.666666984558105,55
83,1998/03/24,1.875,5,-2.3624999755993485,-6.599999904632568,0.800000011920929,,12.333333015441895,67
84,1998/03/25,1.75,5,-0.7499999403953552,-4,2.9000000953674316,0,11.666666984558105,76
85,1998/03/26,1.125,0,-1.7750000059604645,-9.199999809265137,4.599999904632568,,10.333333015441895,67
86,1998/03/27,0.75,0,-0.762500025331974,-8.399999618530273,7,,8.666666984558105,62
87,1998/03/28,1,5,-0.19999995548278093,-6.900000095367432,6.099999904632568,,7.666666507720947,58
88,1998/03/29,0.75,5,1.9125000461935997,-3.4000000953674316,7.699999809265137,,4.666666507720947,64
89,1998/03/30,1,0,2.775000050663948,-3.299999952316284,8.5,,2.3333332538604736,60
90,1998/03/31,1.625,5,3.374999975785613,-1.7000000476837158,8.100000381469727,,,68
91,1998/04/01,2.5,5,7.312500059604645,3.299999952316284,13.699999809265137,0.6,,74
92,1998/04/02,1.75,9,2.3125000055879354,0.20000000298023224,8.100000381469727,3,,85
93,1998/04/03,2.125,9,1.3250000067055225,-0.6000000238418579,3.700000047683716,2.9,2,79
94,1998/04/04,2.375,10,0.45000001043081284,-0.5,2.0999999046325684,2.3,,88
95,1998/04/05,1.375,10,3.374999985098839,1.2000000476837158,7,,,94
96,1998/04/06,0.75,9,5.287499934434891,2.5999999046325684,9.699999809265137,13.2,,94
97,1998/04/07,2.875,10,7.674999982118607,3.299999952316284,12.800000190734863,14.8,,96
98,1998/04/08,2.25,5,6.512500047683716,2.0999999046325684,10,11.2,,95
99,1998/04/09,3,5,10.637499988079071,5.699999809265137,16.399999618530273,,,68
100,1998/04/10,2.375,9,5.975000023841858,3.9000000953674316,11.399999618530273,4,,85
101,1998/04/11,2.75,9,4.2874999940395355,2.0999999046325684,6.5,0.3,,80
102,1998/04/12,2.875,9,9.012499928474426,6,13,28.3,,89
103,1998/04/13,2.125,9,7.687499940395355,6.400000095367432,9.199999809265137,29.1,,94
104,1998/04/14,3.25,9,5.924999952316284,4.900000095367432,7.300000190734863,1,,86
105,1998/04/15,1.125,9,4.024999886751175,2.299999952316284,6.400000095367432,0.4,,88
106,1998/04/16,1.875,5,4.925000060349703,-1.899999976158142,11.199999809265137,,,73
107,1998/04/17,3.5,9,10.125,6.199999809265137,14.800000190734863,,,65
108,1998/04/18,2.375,9,9.137500166893005,7.5,12.300000190734863,0,,74
109,1998/04/19,2.125,9,9.500000059604645,7.199999809265137,12.5,0.4,,89
110,1998/04/20,2.375,9,10.587499976158142,9.699999809265137,11.199999809265137,4.7,,92
111,1998/04/21,2.25,9,10.424999833106995,9.199999809265137,12.699999809265137,,,72
112,1998/04/22,1.5,5,10.675000071525574,5.699999809265137,15.800000190734863,0,,53
113,1998/04/23,0.875,0,10.074999898672104,2.299999952316284,17.200000762939453,,,55
114,1998/04/24,0.75,0,10.887500122189522,1.5,18.700000762939453,,,59
115,1998/04/25,1.25,5,13.349999785423279,4.5,21,,,57
116,1998/04/26,1.125,5,13.812500238418579,8.5,19.700000762939453,,,61
117,1998/04/27,1.75,0,13.000000238418579,5.099999904632568,19,,,51
118,1998/04/28,1.5,0,13.300000190734863,5.900000095367432,19.299999237060547,,,50
119,1998/04/29,1.375,0,13.687500238418579,5,21,,,49
120,1998/04/30,1.125,0,14.787500083446503,4.900000095367432,22.899999618530273,,,52
121,1998/05/01,1.125,0,16.13750010728836,6.400000095367432,24,,,51
122,1998/05/02,2.75,5,17.16249990463257,11.699999809265137,23,,,54
123,1998/05/03,2.125,9,13.712500214576721,11.300000190734863,17.5,5.4,,80
124,1998/05/04,0.875,5,15.537500143051147,8.899999618530273,22.200000762939453,,,74
125,1998/05/05,3.875,9,15.887499928474426,12.399999618530273,19.5,7.1,,79
126,1998/05/06,3.5,9,11.162499904632568,8.600000381469727,16,1,,76
127,1998/05/07,2.5,5,13.100000202655792,5.599999904632568,20,0,,68
128,1998/05/08,2.125,5,15.537499785423279,8.600000381469727,21.200000762939453,,,63
129,1998/05/09,1.25,5,16.012499809265137,8.800000190734863,22.700000762939453,,,67
130,1998/05/10,0.625,0,17.274999856948853,8.699999809265137,24.600000381469727,,,66
131,1998/05/11,1,0,17.387499809265137,8.100000381469727,24.700000762939453,,,59
132,1998/05/12,1,0,17.762500047683716,9.699999809265137,24.600000381469727,,,52
133,1998/05/13,2.875,5,11.537500023841858,8.199999809265137,18.299999237060547,0.9,,66
134,1998/05/14,3.375,9,6.462500035762787,3.200000047683716,10,0.6,,77
135,1998/05/15,1,9,7.1625001430511475,4.400000095367432,11.5,2.2,,86
136,1998/05/16,0.5,5,10.587500005960464,2.299999952316284,18,,,70
137,1998/05/17,0.75,5,13.187499940395355,5.5,20,,,75
138,1998/05/18,1.375,5,16.68750023841858,9.899999618530273,24.299999237060547,,,64
139,1998/05/19,1.375,9,17.337499976158142,12.600000381469727,23.200000762939453,0.5,,55
140,1998/05/20,1,9,17.65000009536743,9,24.299999237060547,,,51
141,1998/05/21,0.375,9,13.337499856948853,12.399999618530273,19.399999618530273,5,,82
142,1998/05/22,0.625,9,13.337499976158142,10.600000381469727,18.100000381469727,3.5,,86
143,1998/05/23,3.625,9,8.962499976158142,6.5,13.699999809265137,0,,70
144,1998/05/24,4.25,5,8.125,5,12.5,0.4,,63
145,1998/05/25,2.75,5,11.06249988079071,7.5,17.100000381469727,1.5,,74
146,1998/05/26,2.625,9,12.899999856948853,8,19.100000381469727,2.5,,71
147,1998/05/27,0.875,9,13.912499904632568,11.199999809265137,17.399999618530273,13.3,,95
148,1998/05/28,1.125,9,15.325000047683716,14,18,5.5,,91
149,1998/05/29,1.5,5,17.300000071525574,9.199999809265137,23.899999618530273,0,,73
150,1998/05/30,1.5,5,19.799999952316284,11.5,26.100000381469727,,,64
151,1998/05/31,1.375,5,19.412500143051147,14,24.700000762939453,0,,66
152,1998/06/01,0.875,9,18.28749978542328,9.600000381469727,25.5,,,61
153,1998/06/02,1.875,5,20.100000262260437,13.199999809265137,29.399999618530273,0,,61
154,1998/06/03,0.875,5,20.787500023841858,13.699999809265137,27.600000381469727,0.5,,71
155,1998/06/04,1.125,5,22.050000071525574,15,28.700000762939453,,,69
156,1998/06/05,1.375,9,21.0625,16.899999618530273,26.200000762939453,0.8,,75
157,1998/06/06,1,0,20.149999856948853,13.300000190734863,25.600000381469727,,,65
158,1998/06/07,0.375,0,20.21250021457672,10.699999809265137,28,,,64
159,1998/06/08,1.125,5,22.4375,14,29.799999237060547,,,60
160,1998/06/09,0.5,0,24.662500143051147,16.299999237060547,32,,,57
161,1998/06/10,0.875,0,24.84999966621399,18.100000381469727,31,,,58
162,1998/06/11,1.875,5,22.09999966621399,17.200000762939453,29.5,,,64
163,1998/06/12,1.875,5,22.324999809265137,16.700000762939453,28,,,73
164,1998/06/13,3,5,25.09999966621399,19.600000381469727,30.5,0,,65
165,1998/06/14,1.75,5,27.78749990463257,19.600000381469727,35.79999923706055,,,57
166,1998/06/15,2.625,5,22.524999856948853,18.600000381469727,28.100000381469727,1.4,,68
167,1998/06/16,3.5,5,17.399999976158142,11.399999618530273,23.899999618530273,0.9,,70
168,1998/06/17,1.375,9,17.125,15.300000190734863,20,7,,85
169,1998/06/18,1.25,9,20.06250011920929,14.800000190734863,28.600000381469727,2.2,,82
170,1998/06/19,1.125,5,21.149999856948853,18.600000381469727,26.899999618530273,5.2,,82
171,1998/06/20,2.5,5,18.600000143051147,14.100000381469727,23.100000381469727,,,71
172,1998/06/21,1.875,5,15.212500095367432,11.600000381469727,19.600000381469727,0,,74
173,1998/06/22,1.25,5,14.200000047683716,10.699999809265137,19.100000381469727,0,,75
174,1998/06/23,2.25,5,14.549999952316284,8.5,20.600000381469727,1.4,,79
175,1998/06/24,3.375,9,15.56250011920929,12.100000381469727,20.700000762939453,,,69
176,1998/06/25,2.125,9,13.18749988079071,11,17.100000381469727,1.6,,85
177,1998/06/26,1.5,9,14.737500071525574,11.5,18.600000381469727,,,78
178,1998/06/27,1.375,5,16.32500010728836,7.300000190734863,23.299999237060547,,,67
179,1998/06/28,1.25,5,17.15000009536743,10.300000190734863,23.200000762939453,,,71
180,1998/06/29,0.75,5,18.700000166893005,13.199999809265137,24.799999237060547,0.6,,80
181,1998/06/30,2.25,5,19.174999713897705,11,25.200000762939453,0.6,,64
182,1998/07/01,1.5,9,19.74999964237213,13.5,26.600000381469727,1.6,,68
