id,dt,wind,cloud,t,tmin,tmax,pcp,s,hum
1,1998/01/01,3.5,10,-1.7374999886378646,-3.5,0.10000000149011612,4.3,6,94
2,1998/01/02,2.75,9,-3.524999976158142,-4.199999809265137,-2.5,,7,88
3,1998/01/03,5.875,9,-1.137499975040555,-2.5,0.30000001192092896,0.9,8,91
4,1998/01/04,6.125,10,0.9249999895691872,0.20000000298023224,1.7999999523162842,0,4.333333492279053,94
5,1998/01/05,4.25,10,0.11249999888241291,-0.30000001192092896,0.8999999761581421,5.6,6.333333492279053,98
6,1998/01/06,4.25,10,-0.8625000044703484,-1.100000023841858,-0.30000001192092896,0,3,97
7,1998/01/07,4,9,-0.949999988079071,-1.399999976158142,-0.5,0.3,3,95
8,1998/01/08,5.25,9,0.6624999763444066,-1,2.799999952316284,0.4,2.3333332538604736,92
9,1998/01/09,5.625,9,1.3750000093132257,0.20000000298023224,2.799999952316284,0,0.6666666865348816,84
10,1998/01/10,6.375,9,-1.675000011920929,-2.9000000953674316,0.20000000298023224,0.9,1,77
11,1998/01/11,6.125,9,-4.850000083446503,-6.800000190734863,-2.9000000953674316,3.8,1,79
12,1998/01/12,5.25,10,1.5000000055879354,-2.9000000953674316,2.5999999046325684,2.1,3.3333332538604736,93
13,1998/01/13,2.875,10,0.9875000044703484,0.30000001192092896,1.7999999523162842,0.4,0.6666666865348816,97
14,1998/01/14,3,9,-1.6124999783933163,-5.099999904632568,0.5,,0.6666666865348816,89
15,1998/01/15,2.875,9,-6.237500071525574,-7.300000190734863,-4.699999809265137,,0.6666666865348816,88
16,1998/01/16,3.875,9,-4.237499952316284,-5.699999809265137,-2.5999999046325684,,0.6666666865348816,90
17,1998/01/17,3.5,5,-2.8749999701976776,-4.900000095367432,-0.800000011920929,,0.6666666865348816,80
18,1998/01/18,5.625,9,-3.2500000298023224,-4.699999809265137,-2.200000047683716,3.3,0.6666666865348816,91
19,1998/01/19,4.875,10,-3.737500011920929,-4.400000095367432,-3.299999952316284,0,4,92
20,1998/01/20,5.5,5,-7.774999916553497,-10.600000381469727,-3.4000000953674316,0,4.333333492279053,88
21,1998/01/21,5.375,5,-6.237499952316284,-8.199999809265137,-3.700000047683716,0,4.666666507720947,84
22,1998/01/22,3.5,5,-10.387499928474426,-13.100000381469727,-5.900000095367432,,4.666666507720947,65
23,1998/01/23,2.125,5,-11.150000035762787,-15,-5.199999809265137,,4.333333492279053,67
24,1998/01/24,1.125,5,-9.725000083446503,-14.600000381469727,-2.0999999046325684,,4.333333492279053,67
25,1998/01/25,2,5,-8.962500095367432,-14,-4.099999904632568,,3.3333332538604736,77
26,1998/01/26,1.625,5,-9.987500011920929,-16.100000381469727,-5.5,,3.3333332538604736,75
27,1998/01/27,3.875,5,-5.324999898672104,-8.199999809265137,-3.0999999046325684,,3.3333332538604736,60
28,1998/01/28,6,5,-5.9374998807907104,-9.899999618530273,-1.399999976158142,,3,58
29,1998/01/29,3.375,9,-4.1624999940395355,-5.5,-1.899999976158142,1.7,4,85
30,1998/01/30,2.75,9,-10.700000166893005,-14.300000190734863,-5.5,0.2,5,86
31,1998/01/31,6.25,9,-8.537499964237213,-14.800000190734863,-3.5999999046325684,0.8,5.666666507720947,85
32,1998/02/01,6.25,5,-11.825000047683716,-13.899999618530273,-9.600000381469727,0.4,6.666666507720947,73
33,1998/02/02,4,5,-11.92499989271164,-16.600000381469727,-5.699999809265137,0,7,74
34,1998/02/03,5.875,5,-10.987499952316284,-14.699999809265137,-7,0,7,78
35,1998/02/04,6.625,9,-5.075000047683716,-7,-3.0999999046325684,1.3,6.666666507720947,86
36,1998/02/05,6.5,5,-3.86250002682209,-6.599999904632568,-0.699999988079071,0.2,7.666666507720947,74
37,1998/02/06,4.875,5,-4.612499937415123,-10.399999618530273,-0.30000001192092896,0.2,7,84
38,1998/02/07,6.875,9,-4.44999997317791,-9.800000190734863,-1.2000000476837158,0.2,7.333333492279053,80
39,1998/02/08,2,5,-13.337500095367432,-18.200000762939453,-6.800000190734863,0,7.333333492279053,72
40,1998/02/09,3.875,5,-9.199999883770943,-16.899999618530273,-1.899999976158142,0.4,7.333333492279053,87
