id,dt,wind,cloud,t,tmin,tmax,pcp,s,hum
1,1998/01/01,2.375,9,-2.3125,-2.5999999046325684,-1.2999999523162842,1.7,1,88
2,1998/01/02,3.75,9,-1.0375000014901161,-2.700000047683716,0.800000011920929,3.2,3,92
3,1998/01/03,5.125,9,1.262499999254942,0.4000000059604645,2.5999999046325684,,2.3333332538604736,93
4,1998/01/04,6,9,3.174999937415123,1.7000000476837158,4.400000095367432,0.8,,92
5,1998/01/05,4,5,1.7625000029802322,-0.800000011920929,3.799999952316284,0.9,,85
6,1998/01/06,3,5,1.3125000316649675,-0.800000011920929,5.699999809265137,,,85
7,1998/01/07,3.125,9,1.012499986216426,-0.10000000149011612,2.700000047683716,3.9,2.3333332538604736,94
8,1998/01/08,6.625,9,3.862499922513962,1.399999976158142,7.199999809265137,1.6,,83
9,1998/01/09,6.375,9,2.8874999433755875,0,4.900000095367432,6.5,,87
10,1998/01/10,7.875,9,-0.3375000078231096,-0.6000000238418579,0.20000000298023224,,,77
11,1998/01/11,7,9,-0.36250000447034836,-1.7999999523162842,3.5999999046325684,4.4,,79
12,1998/01/12,4.75,9,4.887499928474426,3.200000047683716,5.800000190734863,,,84
13,1998/01/13,3.875,9,3.2000000178813934,1.7000000476837158,6.099999904632568,,,83
14,1998/01/14,3.75,10,1.3750000298023224,1,3,0,,93
15,1998/01/15,3.875,9,1.475000038743019,1,2.5,0.2,,91
16,1998/01/16,2.125,9,1.099999986588955,0.699999988079071,2,,,89
17,1998/01/17,3.5,9,0.8250000104308128,0.30000001192092896,2,,,90
18,1998/01/18,3.125,5,1.9874999821186066,0,5.199999809265137,1.4,,94
19,1998/01/19,2.125,10,-0.3125000046566129,-3.4000000953674316,2.4000000953674316,,,97
20,1998/01/20,5,9,0.03750000521540642,-1.7999999523162842,2.0999999046325684,,,85
21,1998/01/21,5.25,9,-2.2874999940395355,-3.0999999046325684,-1.100000023841858,0,,85
22,1998/01/22,4.625,5,-3.6625000089406967,-6.699999809265137,-0.20000000298023224,,,64
23,1998/01/23,2.375,0,-5.974999964237213,-8.899999618530273,-1,,,63
24,1998/01/24,2.25,9,-5.875000089406967,-9.300000190734863,-3.0999999046325684,,,69
25,1998/01/25,5.375,5,-4.324999958276749,-5.800000190734863,-2.0999999046325684,,,74
26,1998/01/26,3.25,5,-6.687499940395355,-9,-3.9000000953674316,,,68
27,1998/01/27,3.125,5,-4.437500044703484,-8.300000190734863,1.7000000476837158,,,55
28,1998/01/28,6.375,5,-2.9624999836087227,-6.900000095367432,2.0999999046325684,,,55
29,1998/01/29,4.625,9,-2.9000000059604645,-5,0.30000001192092896,0.5,,78
30,1998/01/30,4.625,5,-6.925000071525574,-10.100000381469727,-4.400000095367432,0.3,,76
31,1998/01/31,7.75,5,-4.262499928474426,-6.900000095367432,-2.4000000953674316,0.9,3.3333332538604736,68
32,1998/02/01,5.75,5,-8.975000023841858,-10.199999809265137,-6.599999904632568,0,2.6666667461395264,69
33,1998/02/02,5.125,0,-7.699999988079071,-11.5,-3.299999952316284,,2,65
34,1998/02/03,5.625,9,-6.425000011920929,-7.300000190734863,-4.800000190734863,1,2,73
35,1998/02/04,4.625,5,-3.5374999344348907,-5.699999809265137,0.20000000298023224,0,3.3333332538604736,74
36,1998/02/05,4.625,5,-1.6249999795109034,-5.699999809265137,3.200000047683716,,2.6666667461395264,63
37,1998/02/06,4.5,5,-1.3375000022351742,-5,1.7999999523162842,,2.3333332538604736,73
38,1998/02/07,6.875,5,-2.4750000182539225,-5,0.4000000059604645,,1.3333333730697632,73
39,1998/02/08,2.25,5,-6.5875000059604645,-13.100000381469727,-1.7999999523162842,,1,77
40,1998/02/09,3.75,9,0.9124999921768904,-2.5999999046325684,2.200000047683716,1.3,1,84
41,1998/02/10,3.75,9,2.1500000059604645,1.100000023841858,3.700000047683716,0,,83
42,1998/02/11,4.25,9,3.4749999940395355,1.5,5.199999809265137,0,,79
43,1998/02/12,4.875,9,4.512500017881393,3,6.300000190734863,0.3,,82
44,1998/02/13,6.75,9,2.812500022351742,-0.30000001192092896,6,1,,82
45,1998/02/14,5.875,9,-1.9874999867752194,-6.099999904632568,1.100000023841858,,,61
46,1998/02/15,3.875,9,-0.9250000212341547,-1.600000023841858,0.20000000298023224,4.9,5,82
47,1998/02/16,6.25,9,1.3749999664723873,-2.200000047683716,8.100000381469727,0.5,4.333333492279053,82
48,1998/02/17,11,5,4.12500006519258,-1.2000000476837158,9.800000190734863,1,,68
49,1998/02/18,7.125,5,-4.224999949336052,-7.5,-1,,,61
50,1998/02/19,4.125,9,3.9374998956918716,-1.600000023841858,7.300000190734863,0,,86
51,1998/02/20,5.25,9,6.099999964237213,4.400000095367432,7.099999904632568,,,72
52,1998/02/21,4.5,5,4.4749999940395355,3,7.400000095367432,,,76
53,1998/02/22,4.875,0,5.337499976158142,1.7999999523162842,10.800000190734863,,,75
54,1998/02/23,2.625,10,2.6124999970197678,-1.100000023841858,6.699999809265137,,,91
55,1998/02/24,4.5,5,5.150000035762787,2.5999999046325684,8.800000190734863,0,,74
56,1998/02/25,9,5,1.1625000182539225,-2.5999999046325684,5.400000095367432,,,58
57,1998/02/26,4.25,5,-2.4374999795109034,-5.900000095367432,2.700000047683716,0.3,,66
58,1998/02/27,3.75,9,4.487499982118607,2,6.699999809265137,0,,74
59,1998/02/28,6.5,9,8.025000035762787,5.199999809265137,12.5,,,58
60,1998/03/01,5.125,9,6.637499988079071,4.199999809265137,9.5,,,52
61,1998/03/02,5.125,5,1.1749999830499291,-0.800000011920929,5.599999904632568,0.9,,63
62,1998/03/03,5.625,5,2.2500000298023224,-0.8999999761581421,5.699999809265137,2.7,1,71
